1279,672,96,64,64,32,32,256
672,96,64,64,32,32,256,224
96,64,64,32,32,256,224,320
64,64,32,32,256,224,320,32
64,32,32,256,224,320,32,32
32,32,256,224,320,32,32,1856
32,256,224,320,32,32,1856,32
256,224,320,32,32,1856,32,25
224,320,32,32,1856,32,25,39
320,32,32,1856,32,25,39,32
32,32,1856,32,25,39,32,32
32,1856,32,25,39,32,32,32
1856,32,25,39,32,32,32,32
32,25,39,32,32,32,32,32
25,39,32,32,32,32,32,32
39,32,32,32,32,32,32,96
32,32,32,32,32,32,96,224
32,32,32,32,32,96,224,32
32,32,32,32,96,224,32,96
32,32,32,96,224,32,96,353
32,32,96,224,32,96,353,479
32,96,224,32,96,353,479,32
96,224,32,96,353,479,32,32
224,32,96,353,479,32,32,32
32,96,353,479,32,32,32,288
96,353,479,32,32,32,288,1472
353,479,32,32,32,288,1472,64
479,32,32,32,288,1472,64,32
32,32,32,288,1472,64,32,320
32,32,288,1472,64,32,320,192
32,288,1472,64,32,320,192,32
288,1472,64,32,320,192,32,832
1472,64,32,320,192,32,832,96
64,32,320,192,32,832,96,320
32,320,192,32,832,96,320,352
320,192,32,832,96,320,352,32
192,32,832,96,320,352,32,32
32,832,96,320,352,32,32,32
832,96,320,352,32,32,32,97
96,320,352,32,32,32,97,607
320,352,32,32,32,97,607,416
352,32,32,32,97,607,416,647
32,32,32,97,607,416,647,697
32,32,97,607,416,647,697,32
32,97,607,416,647,697,32,64
97,607,416,647,697,32,64,128
607,416,647,697,32,64,128,160
416,647,697,32,64,128,160,160
647,697,32,64,128,160,160,32
697,32,64,128,160,160,32,32
32,64,128,160,160,32,32,32
64,128,160,160,32,32,32,224
128,160,160,32,32,32,224,15
160,160,32,32,32,224,15,210
160,32,32,32,224,15,210,671
32,32,32,224,15,210,671,32
32,32,224,15,210,671,32,192
32,224,15,210,671,32,192,65
224,15,210,671,32,192,65,1439
15,210,671,32,192,65,1439,192
210,671,32,192,65,1439,192,32
671,32,192,65,1439,192,32,417
32,192,65,1439,192,32,417,800
192,65,1439,192,32,417,800,224
65,1439,192,32,417,800,224,224
1439,192,32,417,800,224,224,192
192,32,417,800,224,224,192,223
32,417,800,224,224,192,223,224
417,800,224,224,192,223,224,32
800,224,224,192,223,224,32,896
224,224,192,223,224,32,896,225
224,192,223,224,32,896,225,1152
192,223,224,32,896,225,1152,223
223,224,32,896,225,1152,223,33
224,32,896,225,1152,223,33,224
32,896,225,1152,223,33,224,223
896,225,1152,223,33,224,223,257
225,1152,223,33,224,223,257,224
1152,223,33,224,223,257,224,255
223,33,224,223,257,224,255,203
33,224,223,257,224,255,203,309
224,223,257,224,255,203,309,256
223,257,224,255,203,309,256,33
257,224,255,203,309,256,33,256
224,255,203,309,256,33,256,288
255,203,309,256,33,256,288,287
203,309,256,33,256,288,287,1120
309,256,33,256,288,287,1120,1088
256,33,256,288,287,1120,1088,352
33,256,288,287,1120,1088,352,352
256,288,287,1120,1088,352,352,352
288,287,1120,1088,352,352,352,310
287,1120,1088,352,352,352,310,74
1120,1088,352,352,352,310,74,352
1088,352,352,352,310,74,352,737
352,352,352,310,74,352,737,1471
352,352,310,74,352,737,1471,32
352,310,74,352,737,1471,32,129
310,74,352,737,1471,32,129,191
74,352,737,1471,32,129,191,65
352,737,1471,32,129,191,65,351
737,1471,32,129,191,65,351,32
1471,32,129,191,65,351,32,96
32,129,191,65,351,32,96,33
129,191,65,351,32,96,33,191
191,65,351,32,96,33,191,193
65,351,32,96,33,191,193,191
351,32,96,33,191,193,191,193
32,96,33,191,193,191,193,224
96,33,191,193,191,193,224,383
33,191,193,191,193,224,383,65
191,193,191,193,224,383,65,319
193,191,193,224,383,65,319,33
191,193,224,383,65,319,33,351
193,224,383,65,319,33,351,32
224,383,65,319,33,351,32,33
383,65,319,33,351,32,33,291
65,319,33,351,32,33,291,92
319,33,351,32,33,291,92,33
33,351,32,33,291,92,33,271
351,32,33,291,92,33,271,80
32,33,291,92,33,271,80,33
33,291,92,33,271,80,33,319
291,92,33,271,80,33,319,32
92,33,271,80,33,319,32,97
33,271,80,33,319,32,97,255
271,80,33,319,32,97,255,32
80,33,319,32,97,255,32,65
33,319,32,97,255,32,65,318
319,32,97,255,32,65,318,33
32,97,255,32,65,318,33,33
97,255,32,65,318,33,33,351
255,32,65,318,33,33,351,129
32,65,318,33,33,351,129,220
65,318,33,33,351,129,220,35
318,33,33,351,129,220,35,32
33,33,351,129,220,35,32,65
33,351,129,220,35,32,65,255
351,129,220,35,32,65,255,32
129,220,35,32,65,255,32,65
220,35,32,65,255,32,65,319
35,32,65,255,32,65,319,32
32,65,255,32,65,319,32,65
65,255,32,65,319,32,65,242
255,32,65,319,32,65,242,77
32,65,319,32,65,242,77,65
65,319,32,65,242,77,65,256
319,32,65,242,77,65,256,160
32,65,242,77,65,256,160,223
65,242,77,65,256,160,223,96
242,77,65,256,160,223,96,33
77,65,256,160,223,96,33,255
65,256,160,223,96,33,255,96
256,160,223,96,33,255,96,33
160,223,96,33,255,96,33,255
223,96,33,255,96,33,255,96
96,33,255,96,33,255,96,65
33,255,96,33,255,96,65,287
255,96,33,255,96,65,287,33
96,33,255,96,65,287,33,319
33,255,96,65,287,33,319,65
255,96,65,287,33,319,65,351
96,65,287,33,319,65,351,97
65,287,33,319,65,351,97,320
287,33,319,65,351,97,320,319
33,319,65,351,97,320,319,64
319,65,351,97,320,319,64,129
65,351,97,320,319,64,129,255
351,97,320,319,64,129,255,129
97,320,319,64,129,255,129,223
320,319,64,129,255,129,223,32
319,64,129,255,129,223,32,32
64,129,255,129,223,32,32,96
129,255,129,223,32,32,96,256
255,129,223,32,32,96,256,32
129,223,32,32,96,256,32,129
223,32,32,96,256,32,129,223
32,32,96,256,32,129,223,32
32,96,256,32,129,223,32,32
96,256,32,129,223,32,32,65
256,32,129,223,32,32,65,255
32,129,223,32,32,65,255,32
129,223,32,32,65,255,32,97
223,32,32,65,255,32,97,255
32,32,65,255,32,97,255,32
32,65,255,32,97,255,32,32
65,255,32,97,255,32,32,64
255,32,97,255,32,32,64,33
32,97,255,32,32,64,33,223
97,255,32,32,64,33,223,30
255,32,32,64,33,223,30,354
32,32,64,33,223,30,354,32
32,64,33,223,30,354,32,129
64,33,223,30,354,32,129,223
33,223,30,354,32,129,223,97
223,30,354,32,129,223,97,319
30,354,32,129,223,97,319,129
354,32,129,223,97,319,129,255
32,129,223,97,319,129,255,32
129,223,97,319,129,255,32,33
223,97,319,129,255,32,33,257
